stop, ,Kashi,Tikuri ,Rajvadi,Dhaurahara,Chhittampur,Chaubeypur,Dubkia,Chiraiyan Ganv Block,Ledupur,Ashapur,Pahadia,Pandeypur,PoliceLine,Cantt.
distance, , ,,5,10,16,20,24,27,31,33,34,35,37,40
fare,, ,,10,15,22,22,24,27,30,30,30,30,36,36
,arr,,,6:01,6:21,7:12,7:21,7:03,7:37,7:46,7:51,7:54,7:57,8:02,8:01
,dep, ,6,6:11,7,7:13,7:22,7:31,7:38,7:47,7:52,7:55,7:58,8:03,
 ,arr,,,12:01,12:21,12:34,12:43,12:52,12:59,13:08,13:13,13:16,13:19,13:24,13:03
 ,dep,,12,12:11,12:22,12:35,12:44,12:53,12:06,13:09,13:14,13:17,13:02,13:25,
