stop, ,Kashi,Kamalapur,naurangabad,Sakaldiha,Kachhuman,Madakda Gate,Mughal Sarai,Dulhipur,Padao
distance, , ,,3,15,21,27,33,37,41
fare,, ,,6,18,24,27,30,36,40
,ARR.,,,5:36,6:01,6:14,6:27,6:04,6:49,7
,DEP., ,5:03,5:37,6:02,6:15,6:28,6:41,6:05,
,ARR.,,,,,,,,,
,DEP.,,10:03,10:36,11:01,,,,,
,ARR.,,,10:37,11:02,,,,,
,DEP.,,,,,,,,,
,ARR.,,11:35,11:26,,,,,,
,DEP.,,,11:27,,,,,,
,ARR.,,,12:06,12:31,12:44,12:57,13:01,13:19,13:03
,DEP.,,12,12:07,12:32,12:45,20:48,13:11,13:02,
