STOP, ,Kashi,Cantt,Police Line,Pandeypur,Pahadia,Ashapur,Lendupur,Chiraiyan Ganv Block,Dubkiya,Chaubey pur,Chandravati,Kaithi,Razwadi,Sighauna,Khanpur
DISTANCE, , ,,3,5,6,7,9,13,16,20,24,28,30,33,42
FARE,, ,,6,10,12,12,15,18,22,22,24,27,30,30,40
,ARR.,,,9:36,9:41,9:44,9:47,9:52,10:01,10:08,10:17,10:26,10:35,10:04,10:47,11:05
,DEP.,,9:03,9:37,9:42,9:45,9:48,9:53,10:02,10:09,10:18,10:27,10:36,10:41,10:48,
 ,ARR.,,,15:36,15:41,15:44,15:46,15:52,16:01,16:08,16:17,16:26,16:35,16:04,16:47,17:05
 ,DEP.,,15:03,15:37,15:42,15:45,15:47,15:53,16:02,16:09,16:18,16:27,16:34,9:50,16:48,
