stop, ,Kashi,Padao,Dulhipur,Mughal Sarai,Madagda Gate,Tarajeevanpur,Kachhuman,Sakal Diha,Sakaldiha Bhatti,Nayi bazar
distance, , ,,4,9,13,16,20,24,28,35
fare,, ,,6,15,18,22,22,24,27,36
,arr,,,15:38,15:49,15:58,16:05,16:14,16:23,16:32,16:05
,dep, ,15:03,15:39,15:05,15:59,16:06,16:15,16:24,16:33,
