stop, ,Kashi,Khanpur,Bihariganj,Sighuauna,Rajvadi,Kaithi,Chandravati,Chaubeypur,Dubkia,Chiraiyan Ganv Block,Ledupur,Ashapur,Pahadia,PandeyPur,Cantt
distance, , ,,5,9,12,14,18,22,26,29,33,35,36,37,42
fare,, ,,6,15,18,18,22,24,27,27,30,30,36,36,40
,arr,,,7:38,7:45,7:52,7:57,8:06,8:15,8:24,8:31,8:04,8:45,8:48,8:51,9:05
,dep,,7:03,7:39,7:46,7:53,7:58,8:07,8:16,8:25,8:32,8:41,8:46,8:49,8:52,
,arr,,,11:38,11:45,11:52,11:57,12:06,12:15,12:24,12:31,12:41,12:45,12:48,12:51,13:05
 ,dep,,11:03,11:39,11:46,11:53,11:58,12:07,12:16,12:25,12:32,12:42,12:46,12:49,12:52, 
