stop, ,Kashi,Padao,Ramnagar,Narayanpur,Ranibagh,Adalhat,Rampur,Serva
distance, , ,,5,14,18,24,30,36
fare,, ,,10,18,22,24,27,36
,arr,,,7:04,7:59,8:08,8:21,8:34,8:47
,dep, ,7:03,7:41,8,8:09,8:22,8:35,
 ,arr,,,10:04,10:59,11:08,11:21,11:34,11:47
 ,dep,,10:03,10:41,11,11:09,11:22,11:35,
,arr,,,13:04,13:59,14:08,14:21,14:34,14:47
,dep,,13:03,13:41,14,14:09,14:22,14:35,
