stop, ,Cantt,Police Line,Pandey pur,Pahadia,Ashapur,Ledupur,Chiraia Ganv Block,Dubkia,Chaubeypur,Chhittampur,Dharaura,Rajvadi,Tikuri
distance, ,,3,5,6,7,9,13,16,20,24,30,35,40
fare,,,6,10,12,12,15,18,22,22,24,27,30,36
,ARR.,,10:06,10:11,10:14,10:17,10:22,10:29,10:36,10:45,10:54,11:07,11:18,11:03
,DEP.,10,10:07,10:12,10:15,10:18,10:23,10:03,10:37,10:46,10:55,11:08,11:09,
 ,ARR.,,15:06,15:11,15:14,15:17,15:22,15:29,15:36,15:45,15:54,16:07,16:18,16:03
 ,DEP.,15,15:07,15:12,15:15,15:18,15:23,15:03,15:37,15:46,15:55,16:08,16:19,
