stop, ,Kashi,Tetarpur,Gauri,Gorakh,Bahadia,Sindhauna,Rajvadi,Kaithi,Chandravati,Chaubeypur,Dubkia,Chiraiyan Ganv Block,Ledupur,Ashapur,Pandeypur,PoliceLine,Cantt.
distance, , ,,2,3,6,12,15,17,21,25,29,32,36,38,40,42,45
fare,, ,,,,,,,,,,,,,,,,
,arr,,,8:04,8:07,8:14,8:21,8:28,8:33,8:42,8:51,9,9:07,9:16,9:21,9:27,9:32,9:04
,dep,,8,8:05,8:08,8:15,8:22,8:29,8:34,8:43,8:52,9:01,9:08,9:17,9:22,9:28,9:33,
,arr,,,12:04,12:07,12:14,12:21,12:28,12:33,12:42,12:51,13,13:07,13:16,13:21,13:27,13:32,13:04
 ,dep,,12,12:05,12:08,12:15,12:22,12:29,12:34,12:43,12:52,13:01,13:08,13:17,13:22,13:28,13:33,
