stop, ,Jayapur,Chandpur,Chittapur,Rajatalav,Mohan Sarai,Jagatpur,Rohania,Caultry Farm,Lahartara,Cantt,Kashi
distance, ,0,3,8,10,13,17,19,22,23,27,32
fare,,,6.00,12.00,15.00,18.00,22.00,22.00,24.00,24.00,27.00,30.00
,ARR.,,7:08,7:23,7:29,7:38,7:50,7:56,8:05,8:08,8:21,
,DEP.,7:00,7:09,7:24,7:30,7:39,7:51,7:57,8:06,8:09,,
,ARR.,,10:38,10:53,10:59,11:08,11:20,11:26,11:35,11:38,11:51,
 ,DEP.,10:30,10:39,10:54,11:00,11:09,11:21,11:27,11:36,11:39,,
,ARR.,,14:08,14:23,14:29,14:38,14:50,14:56,15:05,15:08,15:21,15:27
,DEP.,14:00,14:09,14:24,14:30,14:39,14:51,14:57,15:06,15:09,15:22,W/shop
