STOP, ,Kashi,Birav,Kaniyar,BadaGaav,Basani,Babatpur,RTO,Kajisrai,Harawa,Vyasbagh,BHEL,Tarana,Agrasen More,Gilat Bazar,Police Line,Cantt
DISTANCE , , , ,5,9,13,16,22,23,26,29,30,31,33,35,37,40
FARE,, ,,10,15,18,22,24,24,27,27,27,30,30,30,36,40
,ARR.,,,7:46,7:55,8:04,8:11,8:24,8:27,8:34,8:41,8:44,8:47,8:52,8:57,9:03,9:01
,DEP., ,7:03,7:47,7:56,8:05,8:12,8:25,8:28,8:35,8:42,8:45,8:48,8:53,8:58,9:04,
,ARR.,,,11:46,11:55,12:04,12:11,12:24,12:27,12:34,12:41,12:44,12:47,12:52,12:57,13:03,13:01
 ,DEP.,,11:03,11:47,11:56,12:05,12:12,12:25,12:28,12:35,12:42,12:45,12:48,12:53,12:58,13:04, 
,ARR.,,,15:46,15:55,16:04,16:11,16:24,16:27,16:34,16:41,16:44,16:47,16:52,16:57,17:03,17:01
,DEP.,,15:03,15:47,15:56,16:05,16:12,16:25,16:28,16:35,16:42,16:45,16:48,16:53,16:58,17:04,
