stop, ,Kashi,Nayibazar,Sakaldiha Bhatti,Sakadiha,Kachhuman,Tarajeevanpur,Madagda Gate,Mughal Sarai,Dulhipur,Padao
distance, , ,,7,11,15,19,22,26,31,35
fare,, ,,12,18,22,22,24,27,30,36
,arr,,,7:14,7:23,7:32,7:41,7:48,7:57,8:08,8:17
,dep, ,7,7:15,7:24,7:33,7:42,7:49,7:58,8:09,
 ,arr,,,,10:22,10:14,10:05,9:58,9:49,9:38,
,dep,,,,,10:15,10:06,9:59,9:05,9:39,9:03
,arr,,,,,11:08,11:17,11:24,11:33,11:44,11:53
,dep,,,,11,11:09,11:18,11:25,11:34,11:45,
