stop, ,Cantt,Police Line,Pandey pur,Pahadia,Ashapur,Ledupur,Chiraia Ganv Block,Dubkia,Chaubeypur,Chandravati,Kaithi,Rajvadi,Sidhauna,Gorakh,Gauri,Tettarpur
distance, ,,3,5,6,7,9,13,16,20,24,28,30,33,42,43,45
fare,,,6,10,12,12,15,18,22,22,24,27,30,30,40,40,40
,ARR.,,10:06,10:11,10:14,10:17,10:22,10:31,10:38,10:47,10:56,11:05,11:01,11:17,12:37,12:04,12:45
,DEP.,10,10:07,10:12,10:15,10:18,10:23,10:32,10:39,10:48,10:57,11:06,11:11,11:18,12:38,12:41,
 ,ARR.,,17:06,17:11,17:14,17:17,17:22,17:31,17:38,17:47,17:56,18:05,18:01,18:17,19:37,19:04,19:45
 ,DEP.,17,17:07,17:12,17:15,17:18,17:23,17:32,17:39,17:48,17:57,18:06,18:11,18:18,19:38,19:41,
