,Naugarh,Vrindavan,Chandra Prabha,Jamsauti,Bahelia,Guraila,Chakia,Sikamdarpur,Mavaia,Baburi,Shivnath pur,Pandeypur,Niyamata bagh,Mughal Sarai,Dulhipur,Padao,Kashi
arr,,15:21,16:16,16:23,16:48,16:58,17:15,17:31,17:50,18:03,18:13,18:23,18:33,18:55,19:11,19:25,20:30
dep,15:15,15:22,16:17,16:24,16:49,16:59, 6:16,17:32,17:51,18:04,18:14,18:24,18:34,18:56,19:12,19:30,
