stop, ,Kashi,Serva,Rampur,Adalhat,Ranibagh ,Narayanpur,Ramnagar,Padao
distance, , ,,6,12,18,22,31,36
fare,, ,,12,18,22,24,30,36
,arr,,,7:42,7:55,8:08,8:17,8:36,8:47
,dep, ,7:03,7:43,7:56,8:09,8:18,8:37,
,arr,,,10:42,10:55,11:08,11:17,11:36,11:47
 ,dep,,10:03,10:43,10:56,11:09,11:18,11:37,
,arr,,,13:42,13:55,14:08,14:17,14:36,14:47
,dep,,13:03,13:43,13:56,14:09,14:18,14:37,
