stop, ,Kashi,Padao,Dulhipur,Mughal Sarai,Madgda Gate,Kachhuman,Sakal diah,Naurangabad,Janauli
distance, , ,,4,8,14,20,26,38,45
fare,, ,,10,12,18,22,27,36,40
,ARR.,,,14:08,14:17,14:03,14:43,14:56,15:21,15:35
,DEP., ,14,14:09,14:18,14:31,14:44,14:57,15:22,
