stop,,Kashi,Padao,Dulhipur,Muhgal Sarai,Panch Pedva,Ganj Khwaja,Jhansi Pokhra,Jagdish Sarai,Chandauli,,,,,,,
distance,,0,0,4,9,13,17,20,23,25,,,,,,,
fare,,,,,,,,,,,,,,,,,
,arr,,,7:57,8:13,8:26,8:39,8:49,8:59,9:05,,,,,,,
,dep,,7:45,7:58,8:14,8:27,8:40,8:50,9:00,,,,,,,,
,arr,,,9:27,9:43,9:56,10:09,10:20,10:30,10:40,,,,,,,
,dep,,9:15,9:28,9:44,9:57,10:11,10:21,10:31,,,,,,,,
,arr,,,11:27,11:43,11:56,12:09,12:20,12:30,12:40,,,,,,,
,dep,,11:15,11:28,11:44,11:57,12:10,12:21,12:31,,,,,,,,
,arr,,,13:27,13:43,13:56,14:09,14:20,14:30,14:40,,,,,,,
,dep,,13:15,13:28,13:44,13:57,14:10,14:21,14:31,,,,,,,,
,arr,,,14:57,15:13,15:26,15:39,15:49,15:59,16:05,,,,,,,
,dep,,14:45,14:58,15:14,15:27,15:40,15:50,16:00,,,,,,,,
,arr,,,15:27,15:43,15:56,16:09,16:20,16:30,16:40,,,,,,,
,dep,,15:15,15:28,15:44,15:57,16:10,16:21,16:31,,,,,,,,
,arr,,,19:12,19:28,19:41,19:54,20:04,20:14,20:20,,,,,,,
,dep,,19:00,19:13,19:29,19:42,19:55,20:05,20:15,HALT,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
